date,state,dem_price,rep_price
2020/10/25,AK,0.13,0.87
2020/10/26,AK,0.13,0.87
2020/10/27,AK,0.12,0.88
2020/10/28,AK,0.13,0.87
2020/10/29,AK,0.12,0.88
2020/10/30,AK,0.12,0.88
2020/10/31,AK,0.11,0.9
2020/08/03,AL,0.09,0.92
2020/08/04,AL,0.09,0.92
2020/08/05,AL,0.08,0.92
2020/08/06,AL,0.09,0.93
2020/08/07,AL,0.08,0.92
2020/08/08,AL,0.07,0.94
2020/08/09,AL,0.07,0.94
2020/08/10,AL,0.07,0.93
2020/08/11,AL,0.06,0.95
2020/08/12,AL,0.06,0.94
2020/08/13,AL,0.06,0.94
2020/08/14,AL,0.05,0.95
2020/08/15,AL,0.06,0.95
2020/08/16,AL,0.05,0.94
2020/08/17,AL,0.05,0.95
2020/08/18,AL,0.05,0.95
2020/08/19,AL,0.05,0.94
2020/08/20,AL,0.05,0.96
2020/08/21,AL,0.05,0.96
2020/08/22,AL,0.05,0.96
2020/08/23,AL,0.05,0.94
2020/08/24,AL,0.04,0.96
2020/08/25,AL,0.04,0.95
2020/08/26,AL,0.04,0.96
2020/08/27,AL,0.03,0.95
2020/08/28,AL,0.04,0.95
2020/08/29,AL,0.04,0.96
2020/08/30,AL,0.04,0.96
2020/08/31,AL,0.04,0.95
2020/09/01,AL,0.04,0.95
2020/09/02,AL,0.04,0.95
2020/09/03,AL,0.04,0.95
2020/09/04,AL,0.04,0.95
2020/09/05,AL,0.04,0.96
2020/09/06,AL,0.04,0.96
2020/09/07,AL,0.04,0.96
2020/09/08,AL,0.04,0.96
2020/09/09,AL,0.04,0.96
2020/09/10,AL,0.04,0.95
2020/09/11,AL,0.04,0.95
2020/09/12,AL,0.04,0.95
2020/09/13,AL,0.04,0.95
2020/09/14,AL,0.04,0.95
2020/09/15,AL,0.04,0.96
2020/09/16,AL,0.05,0.95
2020/09/17,AL,0.04,0.97
2020/09/18,AL,0.04,0.96
2020/09/19,AL,0.05,0.96
2020/09/20,AL,0.04,0.96
2020/09/21,AL,0.05,0.95
2020/09/22,AL,0.05,0.95
2020/09/23,AL,0.05,0.96
2020/09/24,AL,0.05,0.96
2020/09/25,AL,0.05,0.96
2020/09/26,AL,0.05,0.96
2020/09/27,AL,0.05,0.96
2020/09/28,AL,0.05,0.96
2020/09/29,AL,0.05,0.96
2020/09/30,AL,0.05,0.97
2020/10/01,AL,0.05,0.96
2020/10/02,AL,0.08,0.95
2020/10/03,AL,0.05,0.95
2020/10/04,AL,0.07,0.94
2020/10/05,AL,0.06,0.94
2020/10/06,AL,0.05,0.95
2020/10/07,AL,0.06,0.94
2020/10/08,AL,0.05,0.95
2020/10/09,AL,0.05,0.95
2020/10/10,AL,0.05,0.95
2020/10/11,AL,0.05,0.94
2020/10/12,AL,0.05,0.95
2020/10/13,AL,0.05,0.95
2020/10/14,AL,0.06,0.95
2020/10/15,AL,0.06,0.95
2020/10/16,AL,0.06,0.95
2020/10/17,AL,0.06,0.95
2020/10/18,AL,0.05,0.95
2020/10/19,AL,0.06,0.94
2020/10/20,AL,0.05,0.95
2020/10/21,AL,0.05,0.95
2020/10/22,AL,0.05,0.95
2020/10/23,AL,0.04,0.95
2020/10/24,AL,0.05,0.95
2020/10/25,AL,0.05,0.96
2020/10/26,AL,0.05,0.96
2020/10/27,AL,0.04,0.96
2020/10/28,AL,0.02,0.98
2020/10/29,AL,0.02,0.97
2020/10/30,AL,0.03,0.98
2020/10/31,AL,0.03,0.97
2020/08/03,AR,0.07,0.94
2020/08/04,AR,0.08,0.94
2020/08/05,AR,0.07,0.93
2020/08/06,AR,0.08,0.93
2020/08/07,AR,0.06,0.94
2020/08/08,AR,0.06,0.94
2020/08/09,AR,0.06,0.94
2020/08/10,AR,0.06,0.94
2020/08/11,AR,0.07,0.94
2020/08/12,AR,0.08,0.93
2020/08/13,AR,0.08,0.94
2020/08/14,AR,0.07,0.94
2020/08/15,AR,0.07,0.94
2020/08/16,AR,0.07,0.94
2020/08/17,AR,0.08,0.94
2020/08/18,AR,0.07,0.94
2020/08/19,AR,0.07,0.94
2020/08/20,AR,0.07,0.94
2020/08/21,AR,0.07,0.94
2020/08/22,AR,0.08,0.93
2020/08/23,AR,0.07,0.93
2020/08/24,AR,0.06,0.95
2020/08/25,AR,0.05,0.94
2020/08/26,AR,0.06,0.94
2020/08/27,AR,0.06,0.94
2020/08/28,AR,0.06,0.94
2020/08/29,AR,0.06,0.95
2020/08/30,AR,0.06,0.95
2020/08/31,AR,0.06,0.95
2020/09/01,AR,0.06,0.95
2020/09/02,AR,0.07,0.94
2020/09/03,AR,0.07,0.94
2020/09/04,AR,0.07,0.94
2020/09/05,AR,0.06,0.95
2020/09/06,AR,0.06,0.94
2020/09/07,AR,0.07,0.94
2020/09/08,AR,0.06,0.94
2020/09/09,AR,0.07,0.94
2020/09/10,AR,0.07,0.94
2020/09/11,AR,0.07,0.94
2020/09/12,AR,0.06,0.94
2020/09/13,AR,0.07,0.95
2020/09/14,AR,0.07,0.94
2020/09/15,AR,0.07,0.94
2020/09/16,AR,0.06,0.94
2020/09/17,AR,0.06,0.95
2020/09/18,AR,0.06,0.95
2020/09/19,AR,0.07,0.95
2020/09/20,AR,0.07,0.95
2020/09/21,AR,0.07,0.95
2020/09/22,AR,0.07,0.95
2020/09/23,AR,0.07,0.94
2020/09/24,AR,0.07,0.95
2020/09/25,AR,0.07,0.95
2020/09/26,AR,0.07,0.94
2020/09/27,AR,0.06,0.94
2020/09/28,AR,0.07,0.94
2020/09/29,AR,0.07,0.93
2020/09/30,AR,0.07,0.93
2020/10/01,AR,0.07,0.93
2020/10/02,AR,0.08,0.92
2020/10/03,AR,0.08,0.92
2020/10/04,AR,0.08,0.93
2020/10/05,AR,0.07,0.93
2020/10/06,AR,0.07,0.93
2020/10/07,AR,0.07,0.94
2020/10/08,AR,0.07,0.94
2020/10/09,AR,0.06,0.93
2020/10/10,AR,0.06,0.94
2020/10/11,AR,0.07,0.94
2020/10/12,AR,0.07,0.94
2020/10/13,AR,0.06,0.94
2020/10/14,AR,0.07,0.94
2020/10/15,AR,0.06,0.94
2020/10/16,AR,0.06,0.94
2020/10/17,AR,0.06,0.94
2020/10/18,AR,0.06,0.94
2020/10/19,AR,0.06,0.94
2020/10/20,AR,0.06,0.94
2020/10/21,AR,0.06,0.94
2020/10/22,AR,0.07,0.94
2020/10/23,AR,0.06,0.94
2020/10/24,AR,0.06,0.94
2020/10/25,AR,0.06,0.94
2020/10/26,AR,0.06,0.94
2020/10/27,AR,0.04,0.98
2020/10/28,AR,0.04,0.97
2020/10/29,AR,0.04,0.97
2020/10/30,AR,0.02,0.99
2020/10/31,AR,0.03,0.98
2020/08/03,AZ,0.61,0.41
2020/08/04,AZ,0.62,0.41
2020/08/05,AZ,0.61,0.41
2020/08/06,AZ,0.63,0.41
2020/08/07,AZ,0.61,0.4
2020/08/08,AZ,0.61,0.42
2020/08/09,AZ,0.6,0.44
2020/08/10,AZ,0.59,0.43
2020/08/11,AZ,0.62,0.43
2020/08/12,AZ,0.58,0.43
2020/08/13,AZ,0.57,0.44
2020/08/14,AZ,0.58,0.44
2020/08/15,AZ,0.58,0.45
2020/08/16,AZ,0.58,0.44
2020/08/17,AZ,0.58,0.46
2020/08/18,AZ,0.55,0.48
2020/08/19,AZ,0.55,0.45
2020/08/20,AZ,0.58,0.43
2020/08/21,AZ,0.58,0.43
2020/08/22,AZ,0.57,0.43
2020/08/23,AZ,0.57,0.43
2020/08/24,AZ,0.57,0.44
2020/08/25,AZ,0.57,0.45
2020/08/26,AZ,0.56,0.46
2020/08/27,AZ,0.57,0.47
2020/08/28,AZ,0.57,0.46
2020/08/29,AZ,0.55,0.47
2020/08/30,AZ,0.55,0.46
2020/08/31,AZ,0.55,0.47
2020/09/01,AZ,0.57,0.45
2020/09/02,AZ,0.62,0.39
2020/09/03,AZ,0.62,0.38
2020/09/04,AZ,0.63,0.41
2020/09/05,AZ,0.63,0.4
2020/09/06,AZ,0.63,0.4
2020/09/07,AZ,0.63,0.4
2020/09/08,AZ,0.64,0.39
2020/09/09,AZ,0.62,0.39
2020/09/10,AZ,0.64,0.38
2020/09/11,AZ,0.63,0.39
2020/09/12,AZ,0.63,0.39
2020/09/13,AZ,0.63,0.4
2020/09/14,AZ,0.65,0.37
2020/09/15,AZ,0.64,0.37
2020/09/16,AZ,0.64,0.38
2020/09/17,AZ,0.63,0.38
2020/09/18,AZ,0.65,0.38
2020/09/19,AZ,0.64,0.38
2020/09/20,AZ,0.63,0.38
2020/09/21,AZ,0.64,0.39
2020/09/22,AZ,0.62,0.4
2020/09/23,AZ,0.6,0.42
2020/09/24,AZ,0.59,0.43
2020/09/25,AZ,0.58,0.45
2020/09/26,AZ,0.59,0.43
2020/09/27,AZ,0.58,0.42
2020/09/28,AZ,0.61,0.4
2020/09/29,AZ,0.63,0.4
2020/09/30,AZ,0.63,0.39
2020/10/01,AZ,0.66,0.35
2020/10/02,AZ,0.66,0.36
2020/10/03,AZ,0.66,0.35
2020/10/04,AZ,0.66,0.37
2020/10/05,AZ,0.68,0.33
2020/10/06,AZ,0.69,0.34
2020/10/07,AZ,0.7,0.32
2020/10/08,AZ,0.69,0.33
2020/10/09,AZ,0.65,0.38
2020/10/10,AZ,0.63,0.41
2020/10/11,AZ,0.63,0.39
2020/10/12,AZ,0.62,0.4
2020/10/13,AZ,0.63,0.39
2020/10/14,AZ,0.63,0.4
2020/10/15,AZ,0.63,0.39
2020/10/16,AZ,0.61,0.43
2020/10/17,AZ,0.61,0.41
2020/10/18,AZ,0.6,0.42
2020/10/19,AZ,0.58,0.45
2020/10/20,AZ,0.59,0.45
2020/10/21,AZ,0.59,0.45
2020/10/22,AZ,0.56,0.45
2020/10/23,AZ,0.55,0.47
2020/10/24,AZ,0.54,0.48
2020/10/25,AZ,0.57,0.47
2020/10/26,AZ,0.59,0.46
2020/10/27,AZ,0.54,0.47
2020/10/28,AZ,0.59,0.46
2020/10/29,AZ,0.58,0.45
2020/10/30,AZ,0.56,0.47
2020/10/31,AZ,0.53,0.5
2020/08/03,CA,0.94,0.06
2020/08/04,CA,0.94,0.07
2020/08/05,CA,0.95,0.06
2020/08/06,CA,0.93,0.07
2020/08/07,CA,0.95,0.07
2020/08/08,CA,0.95,0.06
2020/08/09,CA,0.95,0.06
2020/08/10,CA,0.94,0.07
2020/08/11,CA,0.94,0.06
2020/08/12,CA,0.94,0.07
2020/08/13,CA,0.95,0.06
2020/08/14,CA,0.95,0.06
2020/08/15,CA,0.94,0.06
2020/08/16,CA,0.95,0.06
2020/08/17,CA,0.94,0.07
2020/08/18,CA,0.95,0.07
2020/08/19,CA,0.95,0.06
2020/08/20,CA,0.95,0.06
2020/08/21,CA,0.95,0.05
2020/08/22,CA,0.95,0.05
2020/08/23,CA,0.96,0.05
2020/08/24,CA,0.96,0.05
2020/08/25,CA,0.95,0.05
2020/08/26,CA,0.95,0.05
2020/08/27,CA,0.96,0.05
2020/08/28,CA,0.95,0.05
2020/08/29,CA,0.95,0.05
2020/08/30,CA,0.95,0.07
2020/08/31,CA,0.96,0.05
2020/09/01,CA,0.96,0.06
2020/09/02,CA,0.95,0.06
2020/09/03,CA,0.95,0.06
2020/09/04,CA,0.95,0.05
2020/09/05,CA,0.95,0.05
2020/09/06,CA,0.95,0.05
2020/09/07,CA,0.95,0.06
2020/09/08,CA,0.95,0.06
2020/09/09,CA,0.94,0.07
2020/09/10,CA,0.95,0.06
2020/09/11,CA,0.95,0.06
2020/09/12,CA,0.95,0.06
2020/09/13,CA,0.94,0.07
2020/09/14,CA,0.95,0.06
2020/09/15,CA,0.95,0.07
2020/09/16,CA,0.94,0.06
2020/09/17,CA,0.95,0.06
2020/09/18,CA,0.95,0.06
2020/09/19,CA,0.94,0.06
2020/09/20,CA,0.95,0.06
2020/09/21,CA,0.94,0.06
2020/09/22,CA,0.94,0.07
2020/09/23,CA,0.94,0.07
2020/09/24,CA,0.93,0.07
2020/09/25,CA,0.94,0.06
2020/09/26,CA,0.95,0.06
2020/09/27,CA,0.94,0.07
2020/09/28,CA,0.95,0.07
2020/09/29,CA,0.94,0.06
2020/09/30,CA,0.95,0.06
2020/10/01,CA,0.95,0.06
2020/10/02,CA,0.95,0.07
2020/10/03,CA,0.96,0.06
2020/10/04,CA,0.96,0.06
2020/10/05,CA,0.95,0.06
2020/10/06,CA,0.96,0.06
2020/10/07,CA,0.96,0.05
2020/10/08,CA,0.96,0.05
2020/10/09,CA,0.96,0.06
2020/10/10,CA,0.96,0.06
2020/10/11,CA,0.96,0.06
2020/10/12,CA,0.95,0.06
2020/10/13,CA,0.94,0.06
2020/10/14,CA,0.95,0.06
2020/10/15,CA,0.95,0.06
2020/10/16,CA,0.94,0.07
2020/10/17,CA,0.95,0.07
2020/10/18,CA,0.93,0.08
2020/10/19,CA,0.94,0.07
2020/10/20,CA,0.94,0.07
2020/10/21,CA,0.94,0.08
2020/10/22,CA,0.94,0.07
2020/10/23,CA,0.94,0.08
2020/10/24,CA,0.94,0.08
2020/10/25,CA,0.94,0.07
2020/10/26,CA,0.93,0.07
2020/10/27,CA,0.94,0.08
2020/10/28,CA,0.94,0.08
2020/10/29,CA,0.94,0.08
2020/10/30,CA,0.95,0.07
2020/10/31,CA,0.95,0.07
2020/08/03,CO,0.88,0.12
2020/08/04,CO,0.88,0.14
2020/08/05,CO,0.89,0.12
2020/08/06,CO,0.88,0.13
2020/08/07,CO,0.89,0.13
2020/08/08,CO,0.9,0.14
2020/08/09,CO,0.9,0.13
2020/08/10,CO,0.89,0.13
2020/08/11,CO,0.88,0.15
2020/08/12,CO,0.89,0.13
2020/08/13,CO,0.89,0.15
2020/08/14,CO,0.89,0.13
2020/08/15,CO,0.88,0.13
2020/08/16,CO,0.88,0.13
2020/08/17,CO,0.88,0.12
2020/08/18,CO,0.89,0.12
2020/08/19,CO,0.89,0.11
2020/08/20,CO,0.9,0.1
2020/08/21,CO,0.9,0.1
2020/08/22,CO,0.91,0.1
2020/08/23,CO,0.91,0.1
2020/08/24,CO,0.9,0.1
2020/08/25,CO,0.91,0.1
2020/08/26,CO,0.89,0.11
2020/08/27,CO,0.88,0.13
2020/08/28,CO,0.9,0.11
2020/08/29,CO,0.87,0.12
2020/08/30,CO,0.88,0.13
2020/08/31,CO,0.87,0.13
2020/09/01,CO,0.87,0.13
2020/09/02,CO,0.89,0.12
2020/09/03,CO,0.89,0.12
2020/09/04,CO,0.89,0.11
2020/09/05,CO,0.89,0.1
2020/09/06,CO,0.9,0.11
2020/09/07,CO,0.9,0.11
2020/09/08,CO,0.9,0.11
2020/09/09,CO,0.88,0.12
2020/09/10,CO,0.87,0.13
2020/09/11,CO,0.87,0.14
2020/09/12,CO,0.87,0.14
2020/09/13,CO,0.88,0.12
2020/09/14,CO,0.88,0.12
2020/09/15,CO,0.89,0.12
2020/09/16,CO,0.88,0.12
2020/09/17,CO,0.88,0.12
2020/09/18,CO,0.89,0.12
2020/09/19,CO,0.89,0.12
2020/09/20,CO,0.89,0.12
2020/09/21,CO,0.87,0.12
2020/09/22,CO,0.88,0.14
2020/09/23,CO,0.88,0.14
2020/09/24,CO,0.87,0.13
2020/09/25,CO,0.88,0.12
2020/09/26,CO,0.89,0.13
2020/09/27,CO,0.89,0.13
2020/09/28,CO,0.88,0.12
2020/09/29,CO,0.88,0.12
2020/09/30,CO,0.89,0.12
2020/10/01,CO,0.89,0.11
2020/10/02,CO,0.9,0.1
2020/10/03,CO,0.89,0.1
2020/10/04,CO,0.89,0.11
2020/10/05,CO,0.89,0.11
2020/10/06,CO,0.9,0.11
2020/10/07,CO,0.9,0.1
2020/10/08,CO,0.91,0.1
2020/10/09,CO,0.91,0.1
2020/10/10,CO,0.91,0.12
2020/10/11,CO,0.91,0.12
2020/10/12,CO,0.9,0.11
2020/10/13,CO,0.91,0.1
2020/10/14,CO,0.9,0.12
2020/10/15,CO,0.9,0.1
2020/10/16,CO,0.91,0.11
2020/10/17,CO,0.9,0.11
2020/10/18,CO,0.9,0.11
2020/10/19,CO,0.89,0.12
2020/10/20,CO,0.89,0.11
2020/10/21,CO,0.89,0.12
2020/10/22,CO,0.9,0.12
2020/10/23,CO,0.89,0.12
2020/10/24,CO,0.88,0.13
2020/10/25,CO,0.88,0.12
2020/10/26,CO,0.9,0.11
2020/10/27,CO,0.89,0.12
2020/10/28,CO,0.9,0.11
2020/10/29,CO,0.92,0.09
2020/10/30,CO,0.91,0.09
2020/10/31,CO,0.9,0.11
2020/08/03,CT,0.93,0.06
2020/08/04,CT,0.94,0.06
2020/08/05,CT,0.94,0.06
2020/08/06,CT,0.93,0.07
2020/08/07,CT,0.93,0.07
2020/08/08,CT,0.94,0.07
2020/08/09,CT,0.94,0.07
2020/08/10,CT,0.94,0.08
2020/08/11,CT,0.94,0.07
2020/08/12,CT,0.94,0.07
2020/08/13,CT,0.94,0.08
2020/08/14,CT,0.94,0.07
2020/08/15,CT,0.94,0.06
2020/08/16,CT,0.94,0.07
2020/08/17,CT,0.94,0.07
2020/08/18,CT,0.94,0.06
2020/08/19,CT,0.93,0.07
2020/08/20,CT,0.96,0.05
2020/08/21,CT,0.96,0.05
2020/08/22,CT,0.96,0.06
2020/08/23,CT,0.95,0.06
2020/08/24,CT,0.95,0.05
2020/08/25,CT,0.96,0.05
2020/08/26,CT,0.95,0.06
2020/08/27,CT,0.95,0.06
2020/08/28,CT,0.94,0.05
2020/08/29,CT,0.94,0.05
2020/08/30,CT,0.95,0.06
2020/08/31,CT,0.95,0.06
2020/09/01,CT,0.95,0.06
2020/09/02,CT,0.94,0.06
2020/09/03,CT,0.94,0.06
2020/09/04,CT,0.95,0.06
2020/09/05,CT,0.95,0.05
2020/09/06,CT,0.94,0.05
2020/09/07,CT,0.95,0.06
2020/09/08,CT,0.95,0.06
2020/09/09,CT,0.94,0.06
2020/09/10,CT,0.94,0.06
2020/09/11,CT,0.95,0.06
2020/09/12,CT,0.94,0.06
2020/09/13,CT,0.95,0.06
2020/09/14,CT,0.95,0.06
2020/09/15,CT,0.95,0.05
2020/09/16,CT,0.95,0.05
2020/09/17,CT,0.96,0.05
2020/09/18,CT,0.95,0.06
2020/09/19,CT,0.95,0.06
2020/09/20,CT,0.93,0.07
2020/09/21,CT,0.95,0.07
2020/09/22,CT,0.95,0.07
2020/09/23,CT,0.95,0.06
2020/09/24,CT,0.93,0.06
2020/09/25,CT,0.93,0.06
2020/09/26,CT,0.95,0.06
2020/09/27,CT,0.94,0.06
2020/09/28,CT,0.95,0.06
2020/09/29,CT,0.95,0.06
2020/09/30,CT,0.95,0.06
2020/10/01,CT,0.94,0.07
2020/10/02,CT,0.94,0.06
2020/10/03,CT,0.94,0.06
2020/10/04,CT,0.95,0.06
2020/10/05,CT,0.95,0.05
2020/10/06,CT,0.95,0.05
2020/10/07,CT,0.96,0.05
2020/10/08,CT,0.96,0.05
2020/10/09,CT,0.96,0.05
2020/10/10,CT,0.95,0.05
2020/10/11,CT,0.95,0.05
2020/10/12,CT,0.95,0.05
2020/10/13,CT,0.95,0.06
2020/10/14,CT,0.94,0.05
2020/10/15,CT,0.95,0.07
2020/10/16,CT,0.95,0.07
2020/10/17,CT,0.94,0.07
2020/10/18,CT,0.94,0.07
2020/10/19,CT,0.94,0.07
2020/10/20,CT,0.94,0.07
2020/10/21,CT,0.93,0.06
2020/10/22,CT,0.95,0.05
2020/10/23,CT,0.94,0.06
2020/10/24,CT,0.94,0.07
2020/10/25,CT,0.95,0.06
2020/10/26,CT,0.95,0.06
2020/10/27,CT,0.93,0.06
2020/10/28,CT,0.94,0.06
2020/10/29,CT,0.94,0.06
2020/10/30,CT,0.96,0.04
2020/10/31,CT,0.96,0.05
2020/08/03,DC,0.98,0.01
2020/08/04,DC,0.98,0.03
2020/08/05,DC,0.98,0.02
2020/08/06,DC,0.97,0.02
2020/08/07,DC,0.97,0.02
2020/08/08,DC,0.97,0.02
2020/08/09,DC,0.97,0.02
2020/08/10,DC,0.97,0.03
2020/08/11,DC,0.98,0.03
2020/08/12,DC,0.98,0.03
2020/08/13,DC,0.98,0.03
2020/08/14,DC,0.98,0.03
2020/08/15,DC,0.98,0.03
2020/08/16,DC,0.98,0.02
2020/08/17,DC,0.98,0.02
2020/08/18,DC,0.98,0.02
2020/08/19,DC,0.97,0.03
2020/08/20,DC,0.97,0.02
2020/08/21,DC,0.97,0.03
2020/08/22,DC,0.97,0.03
2020/08/23,DC,0.98,0.03
2020/08/24,DC,0.98,0.02
2020/08/25,DC,0.97,0.02
2020/08/26,DC,0.98,0.03
2020/08/27,DC,0.98,0.03
2020/08/28,DC,0.97,0.03
2020/08/29,DC,0.97,0.03
2020/08/30,DC,0.98,0.03
2020/08/31,DC,0.98,0.02
2020/09/01,DC,0.98,0.03
2020/09/02,DC,0.98,0.03
2020/09/03,DC,0.98,0.03
2020/09/04,DC,0.97,0.03
2020/09/05,DC,0.97,0.02
2020/09/06,DC,0.97,0.03
2020/09/07,DC,0.98,0.03
2020/09/08,DC,0.98,0.03
2020/09/09,DC,0.98,0.03
2020/09/10,DC,0.98,0.03
2020/09/11,DC,0.98,0.03
2020/09/12,DC,0.98,0.03
2020/09/13,DC,0.98,0.03
2020/09/14,DC,0.98,0.03
2020/09/15,DC,0.98,0.02
2020/09/16,DC,0.97,0.03
2020/09/17,DC,0.98,0.03
2020/09/18,DC,0.97,0.02
2020/09/19,DC,0.97,0.03
2020/09/20,DC,0.98,0.03
2020/09/21,DC,0.97,0.03
2020/09/22,DC,0.97,0.04
2020/09/23,DC,0.97,0.04
2020/09/24,DC,0.97,0.03
2020/09/25,DC,0.97,0.03
2020/09/26,DC,0.97,0.03
2020/09/27,DC,0.97,0.04
2020/09/28,DC,0.97,0.04
2020/09/29,DC,0.96,0.04
2020/09/30,DC,0.97,0.04
2020/10/01,DC,0.98,0.03
2020/10/02,DC,0.97,0.03
2020/10/03,DC,0.97,0.04
2020/10/04,DC,0.97,0.04
2020/10/05,DC,0.98,0.04
2020/10/06,DC,0.98,0.02
2020/10/07,DC,0.98,0.02
2020/10/08,DC,0.98,0.02
2020/10/09,DC,0.98,0.03
2020/10/10,DC,0.98,0.03
2020/10/11,DC,0.98,0.03
2020/10/12,DC,0.98,0.03
2020/10/13,DC,0.99,0.03
2020/10/14,DC,0.97,0.03
2020/10/15,DC,0.98,0.02
2020/10/16,DC,0.96,0.04
2020/10/17,DC,0.96,0.04
2020/10/18,DC,0.96,0.04
2020/10/19,DC,0.94,0.06
2020/10/20,DC,0.96,0.06
2020/10/21,DC,0.95,0.05
2020/10/22,DC,0.95,0.04
2020/10/23,DC,0.95,0.05
2020/10/24,DC,0.95,0.04
2020/10/25,DC,0.96,0.05
2020/10/26,DC,0.96,0.05
2020/10/27,DC,0.96,0.05
2020/10/28,DC,0.96,0.04
2020/10/29,DC,0.96,0.05
2020/10/30,DC,0.98,0.02
2020/10/31,DC,0.98,0.03
2020/08/03,DE,0.95,0.05
2020/08/04,DE,0.95,0.05
2020/08/05,DE,0.95,0.05
2020/08/06,DE,0.94,0.05
2020/08/07,DE,0.94,0.05
2020/08/08,DE,0.95,0.05
2020/08/09,DE,0.95,0.04
2020/08/10,DE,0.95,0.06
2020/08/11,DE,0.95,0.06
2020/08/12,DE,0.95,0.06
2020/08/13,DE,0.95,0.05
2020/08/14,DE,0.95,0.05
2020/08/15,DE,0.95,0.05
2020/08/16,DE,0.95,0.05
2020/08/17,DE,0.95,0.07
2020/08/18,DE,0.95,0.07
2020/08/19,DE,0.96,0.05
2020/08/20,DE,0.96,0.05
2020/08/21,DE,0.96,0.05
2020/08/22,DE,0.96,0.05
2020/08/23,DE,0.96,0.05
2020/08/24,DE,0.97,0.05
2020/08/25,DE,0.96,0.05
2020/08/26,DE,0.97,0.05
2020/08/27,DE,0.96,0.05
2020/08/28,DE,0.95,0.05
2020/08/29,DE,0.95,0.05
2020/08/30,DE,0.96,0.05
2020/08/31,DE,0.95,0.05
2020/09/01,DE,0.95,0.05
2020/09/02,DE,0.96,0.05
2020/09/03,DE,0.96,0.05
2020/09/04,DE,0.96,0.05
2020/09/05,DE,0.96,0.04
2020/09/06,DE,0.96,0.05
2020/09/07,DE,0.96,0.05
2020/09/08,DE,0.96,0.05
2020/09/09,DE,0.96,0.05
2020/09/10,DE,0.96,0.05
2020/09/11,DE,0.96,0.05
2020/09/12,DE,0.96,0.05
2020/09/13,DE,0.96,0.04
2020/09/14,DE,0.96,0.04
2020/09/15,DE,0.96,0.04
2020/09/16,DE,0.96,0.05
2020/09/17,DE,0.96,0.05
2020/09/18,DE,0.96,0.06
2020/09/19,DE,0.95,0.06
2020/09/20,DE,0.95,0.06
2020/09/21,DE,0.95,0.06
2020/09/22,DE,0.95,0.05
