date,party,win_prob,state
2020-03-31,republican,0.998,Alabama
2020-04-01,democratic,0.003,Alabama
2020-04-01,republican,0.997,Alabama
2020-04-02,democratic,0.003,Alabama
2020-04-02,republican,0.997,Alabama
2020-04-03,democratic,0.003,Alabama
2020-04-03,republican,0.997,Alabama
2020-04-04,democratic,0.003,Alabama
2020-04-04,republican,0.997,Alabama
2020-04-05,democratic,0.003,Alabama
2020-04-05,republican,0.997,Alabama
2020-04-06,democratic,0.003,Alabama
2020-04-06,republican,0.997,Alabama
2020-04-07,democratic,0.003,Alabama
2020-04-07,republican,0.997,Alabama
2020-04-08,democratic,0.002,Alabama
2020-04-08,republican,0.998,Alabama
2020-04-09,democratic,0.002,Alabama
2020-04-09,republican,0.998,Alabama
2020-04-10,democratic,0.002,Alabama
2020-04-10,republican,0.998,Alabama
2020-04-11,democratic,0.003,Alabama
2020-04-11,republican,0.997,Alabama
2020-04-12,democratic,0.002,Alabama
2020-04-12,republican,0.998,Alabama
2020-04-13,democratic,0.002,Alabama
2020-04-13,republican,0.998,Alabama
2020-04-14,democratic,0.002,Alabama
2020-04-14,republican,0.998,Alabama
2020-04-15,democratic,0.002,Alabama
2020-04-15,republican,0.998,Alabama
2020-04-16,democratic,0.002,Alabama
2020-04-16,republican,0.998,Alabama
2020-04-17,democratic,0.002,Alabama
2020-04-17,republican,0.998,Alabama
2020-04-18,democratic,0.002,Alabama
2020-04-18,republican,0.998,Alabama
2020-04-19,democratic,0.001,Alabama
2020-04-19,republican,0.9990000000000001,Alabama
2020-04-20,democratic,0.002,Alabama
2020-04-20,republican,0.998,Alabama
2020-04-21,democratic,0.003,Alabama
2020-04-21,republican,0.997,Alabama
2020-04-22,democratic,0.002,Alabama
2020-04-22,republican,0.998,Alabama
2020-04-23,democratic,0.002,Alabama
2020-04-23,republican,0.998,Alabama
2020-04-24,democratic,0.003,Alabama
2020-04-24,republican,0.997,Alabama
2020-04-25,democratic,0.002,Alabama
2020-04-25,republican,0.998,Alabama
2020-04-26,democratic,0.003,Alabama
2020-04-26,republican,0.997,Alabama
2020-04-27,democratic,0.002,Alabama
2020-04-27,republican,0.998,Alabama
2020-04-28,democratic,0.002,Alabama
2020-04-28,republican,0.998,Alabama
2020-04-29,democratic,0.002,Alabama
2020-04-29,republican,0.998,Alabama
2020-04-30,democratic,0.002,Alabama
2020-04-30,republican,0.998,Alabama
2020-05-01,democratic,0.002,Alabama
2020-05-01,republican,0.998,Alabama
2020-05-02,democratic,0.003,Alabama
2020-05-02,republican,0.997,Alabama
2020-05-03,democratic,0.003,Alabama
2020-05-03,republican,0.997,Alabama
2020-05-04,democratic,0.003,Alabama
2020-05-04,republican,0.997,Alabama
2020-05-05,democratic,0.003,Alabama
2020-05-05,republican,0.997,Alabama
2020-05-06,democratic,0.003,Alabama
2020-05-06,republican,0.997,Alabama
2020-05-07,democratic,0.002,Alabama
2020-05-07,republican,0.998,Alabama
2020-05-08,democratic,0.002,Alabama
2020-05-08,republican,0.998,Alabama
2020-05-09,democratic,0.002,Alabama
2020-05-09,republican,0.998,Alabama
2020-05-10,democratic,0.002,Alabama
2020-05-10,republican,0.998,Alabama
2020-05-11,democratic,0.003,Alabama
2020-05-11,republican,0.997,Alabama
2020-05-12,democratic,0.003,Alabama
2020-05-12,republican,0.997,Alabama
2020-05-13,democratic,0.002,Alabama
2020-05-13,republican,0.998,Alabama
2020-05-14,democratic,0.002,Alabama
2020-05-14,republican,0.998,Alabama
2020-05-15,democratic,0.003,Alabama
2020-05-15,republican,0.997,Alabama
2020-05-16,democratic,0.002,Alabama
2020-05-16,republican,0.998,Alabama
2020-05-17,democratic,0.002,Alabama
2020-05-17,republican,0.998,Alabama
2020-05-18,democratic,0.002,Alabama
2020-05-18,republican,0.998,Alabama
2020-05-19,democratic,0.002,Alabama
2020-05-19,republican,0.998,Alabama
2020-05-20,democratic,0.002,Alabama
2020-05-20,republican,0.998,Alabama
2020-05-21,democratic,0.002,Alabama
2020-05-21,republican,0.998,Alabama
2020-05-22,democratic,0.003,Alabama
2020-05-22,republican,0.997,Alabama
2020-05-23,democratic,0.003,Alabama
2020-05-23,republican,0.997,Alabama
2020-05-24,democratic,0.002,Alabama
2020-05-24,republican,0.998,Alabama
2020-05-25,democratic,0.002,Alabama
2020-05-25,republican,0.998,Alabama
2020-05-26,democratic,0.002,Alabama
2020-05-26,republican,0.998,Alabama
2020-05-27,democratic,0.002,Alabama
2020-05-27,republican,0.998,Alabama
2020-05-28,democratic,0.002,Alabama
2020-05-28,republican,0.998,Alabama
2020-05-29,democratic,0.002,Alabama
2020-05-29,republican,0.998,Alabama
2020-05-30,democratic,0.002,Alabama
2020-05-30,republican,0.998,Alabama
2020-05-31,democratic,0.002,Alabama
2020-05-31,republican,0.998,Alabama
2020-06-01,democratic,0.002,Alabama
2020-06-01,republican,0.998,Alabama
2020-06-02,democratic,0.002,Alabama
2020-06-02,republican,0.998,Alabama
2020-06-03,democratic,0.002,Alabama
2020-06-03,republican,0.998,Alabama
2020-06-04,democratic,0.002,Alabama
2020-06-04,republican,0.998,Alabama
2020-06-05,democratic,0.002,Alabama
2020-06-05,republican,0.998,Alabama
2020-06-06,democratic,0.002,Alabama
2020-06-06,republican,0.998,Alabama
2020-06-07,democratic,0.002,Alabama
2020-06-07,republican,0.998,Alabama
2020-06-08,democratic,0.002,Alabama
2020-06-08,republican,0.998,Alabama
2020-06-09,democratic,0.003,Alabama
2020-06-09,republican,0.997,Alabama
2020-06-10,democratic,0.003,Alabama
2020-06-10,republican,0.997,Alabama
2020-06-11,democratic,0.003,Alabama
2020-06-11,republican,0.997,Alabama
2020-06-12,democratic,0.003,Alabama
2020-06-12,republican,0.997,Alabama
2020-06-13,democratic,0.003,Alabama
2020-06-13,republican,0.997,Alabama
2020-06-14,democratic,0.003,Alabama
2020-06-14,republican,0.997,Alabama
2020-06-15,democratic,0.003,Alabama
2020-06-15,republican,0.997,Alabama
2020-06-16,democratic,0.003,Alabama
2020-06-16,republican,0.997,Alabama
2020-06-17,democratic,0.003,Alabama
2020-06-17,republican,0.997,Alabama
2020-06-18,democratic,0.003,Alabama
2020-06-18,republican,0.997,Alabama
2020-06-19,democratic,0.003,Alabama
2020-06-19,republican,0.997,Alabama
2020-06-20,democratic,0.003,Alabama
2020-06-20,republican,0.997,Alabama
2020-06-21,democratic,0.003,Alabama
2020-06-21,republican,0.997,Alabama
2020-06-22,democratic,0.003,Alabama
2020-06-22,republican,0.997,Alabama
2020-06-23,democratic,0.003,Alabama
2020-06-23,republican,0.997,Alabama
2020-06-24,democratic,0.003,Alabama
2020-06-24,republican,0.997,Alabama
2020-06-25,democratic,0.002,Alabama
2020-06-25,republican,0.998,Alabama
2020-06-26,democratic,0.003,Alabama
2020-06-26,republican,0.997,Alabama
2020-06-27,democratic,0.003,Alabama
2020-06-27,republican,0.997,Alabama
2020-06-28,democratic,0.002,Alabama
2020-06-28,republican,0.998,Alabama
2020-06-29,democratic,0.003,Alabama
2020-06-29,republican,0.997,Alabama
2020-06-30,democratic,0.003,Alabama
2020-06-30,republican,0.997,Alabama
2020-07-01,democratic,0.003,Alabama
2020-07-01,republican,0.997,Alabama
2020-07-02,democratic,0.003,Alabama
2020-07-02,republican,0.997,Alabama
2020-07-03,democratic,0.002,Alabama
2020-07-03,republican,0.998,Alabama
2020-07-04,democratic,0.003,Alabama
2020-07-04,republican,0.997,Alabama
2020-07-05,democratic,0.003,Alabama
2020-07-05,republican,0.997,Alabama
2020-07-06,democratic,0.002,Alabama
2020-07-06,republican,0.998,Alabama
2020-07-07,democratic,0.002,Alabama
2020-07-07,republican,0.998,Alabama
2020-07-08,democratic,0.002,Alabama
2020-07-08,republican,0.998,Alabama
2020-07-09,democratic,0.002,Alabama
2020-07-09,republican,0.998,Alabama
2020-07-10,democratic,0.003,Alabama
2020-07-10,republican,0.997,Alabama
2020-07-11,democratic,0.003,Alabama
2020-07-11,republican,0.997,Alabama
2020-07-12,democratic,0.002,Alabama
2020-07-12,republican,0.998,Alabama
2020-07-13,democratic,0.002,Alabama
2020-07-13,republican,0.998,Alabama
2020-07-14,democratic,0.003,Alabama
2020-07-14,republican,0.997,Alabama
2020-07-15,democratic,0.003,Alabama
2020-07-15,republican,0.997,Alabama
2020-07-16,democratic,0.003,Alabama
2020-07-16,republican,0.997,Alabama
2020-07-17,democratic,0.003,Alabama
2020-07-17,republican,0.997,Alabama
2020-07-18,democratic,0.003,Alabama
2020-07-18,republican,0.997,Alabama
2020-07-19,democratic,0.002,Alabama
2020-07-19,republican,0.998,Alabama
2020-07-20,democratic,0.002,Alabama
2020-07-20,republican,0.998,Alabama
2020-07-21,democratic,0.002,Alabama
2020-07-21,republican,0.998,Alabama
2020-07-22,democratic,0.002,Alabama
2020-07-22,republican,0.998,Alabama
2020-07-23,democratic,0.002,Alabama
2020-07-23,republican,0.998,Alabama
2020-07-24,democratic,0.002,Alabama
2020-07-24,republican,0.998,Alabama
2020-07-25,democratic,0.002,Alabama
2020-07-25,republican,0.998,Alabama
2020-07-26,democratic,0.002,Alabama
2020-07-26,republican,0.998,Alabama
2020-07-27,democratic,0.002,Alabama
2020-07-27,republican,0.998,Alabama
2020-07-28,democratic,0.002,Alabama
2020-07-28,republican,0.998,Alabama
2020-07-29,democratic,0.001,Alabama
2020-07-29,republican,0.9990000000000001,Alabama
2020-07-30,democratic,0.001,Alabama
2020-07-30,republican,0.9990000000000001,Alabama
2020-07-31,democratic,0.001,Alabama
2020-07-31,republican,0.9990000000000001,Alabama
2020-08-01,democratic,0.001,Alabama
2020-08-01,republican,0.9990000000000001,Alabama
2020-08-02,democratic,0.001,Alabama
2020-08-02,republican,0.9990000000000001,Alabama
2020-08-03,democratic,0.001,Alabama
2020-08-03,republican,0.9990000000000001,Alabama
2020-08-04,democratic,0.001,Alabama
2020-08-04,republican,0.9990000000000001,Alabama
2020-08-05,democratic,0.001,Alabama
2020-08-05,republican,0.9990000000000001,Alabama
2020-08-06,democratic,0.001,Alabama
2020-08-06,republican,0.9990000000000001,Alabama
2020-08-07,democratic,0.001,Alabama
2020-08-07,republican,0.9990000000000001,Alabama
2020-08-08,democratic,0.001,Alabama
2020-08-08,republican,0.9990000000000001,Alabama
2020-08-09,democratic,0.0,Alabama
2020-08-09,republican,1.0,Alabama
2020-08-10,democratic,0.001,Alabama
2020-08-10,republican,0.9990000000000001,Alabama
2020-08-11,democratic,0.0,Alabama
2020-08-11,republican,1.0,Alabama
2020-08-12,democratic,0.0,Alabama
2020-08-12,republican,1.0,Alabama
2020-08-13,democratic,0.0,Alabama
2020-08-13,republican,1.0,Alabama
2020-08-14,democratic,0.0,Alabama
2020-08-14,republican,1.0,Alabama
2020-08-15,democratic,0.001,Alabama
2020-08-15,republican,0.9990000000000001,Alabama
2020-08-16,democratic,0.0,Alabama
2020-08-16,republican,1.0,Alabama
2020-08-17,democratic,0.0,Alabama
2020-08-17,republican,1.0,Alabama
2020-08-18,democratic,0.0,Alabama
2020-08-18,republican,1.0,Alabama
2020-08-19,democratic,0.0,Alabama
2020-08-19,republican,1.0,Alabama
2020-08-20,democratic,0.0,Alabama
2020-08-20,republican,1.0,Alabama
2020-08-21,democratic,0.0,Alabama
2020-08-21,republican,1.0,Alabama
2020-08-22,democratic,0.0,Alabama
2020-08-22,republican,1.0,Alabama
2020-08-23,democratic,0.0,Alabama
2020-08-23,republican,1.0,Alabama
2020-08-24,democratic,0.0,Alabama
2020-08-24,republican,1.0,Alabama
2020-08-25,democratic,0.0,Alabama
2020-08-25,republican,1.0,Alabama
2020-08-26,democratic,0.001,Alabama
2020-08-26,republican,0.9990000000000001,Alabama
2020-08-27,democratic,0.0,Alabama
2020-08-27,republican,1.0,Alabama
2020-08-28,democratic,0.0,Alabama
2020-08-28,republican,1.0,Alabama
2020-08-29,democratic,0.0,Alabama
2020-08-29,republican,1.0,Alabama
2020-08-30,democratic,0.0,Alabama
2020-08-30,republican,1.0,Alabama
2020-08-31,democratic,0.0,Alabama
2020-08-31,republican,1.0,Alabama
2020-09-01,democratic,0.0,Alabama
2020-09-01,republican,1.0,Alabama
2020-09-02,democratic,0.0,Alabama
2020-09-02,republican,1.0,Alabama
2020-09-03,democratic,0.0,Alabama
2020-09-03,republican,1.0,Alabama
2020-09-04,democratic,0.0,Alabama
2020-09-04,republican,1.0,Alabama
2020-09-05,democratic,0.0,Alabama
2020-09-05,republican,1.0,Alabama
2020-09-06,democratic,0.0,Alabama
2020-09-06,republican,1.0,Alabama
2020-09-07,democratic,0.0,Alabama
2020-09-07,republican,1.0,Alabama
2020-09-08,democratic,0.0,Alabama
2020-09-08,republican,1.0,Alabama
2020-09-09,democratic,0.0,Alabama
2020-09-09,republican,1.0,Alabama
2020-09-10,democratic,0.0,Alabama
2020-09-10,republican,1.0,Alabama
2020-09-11,democratic,0.0,Alabama
2020-09-11,republican,1.0,Alabama
2020-09-12,democratic,0.0,Alabama
2020-09-12,republican,1.0,Alabama
2020-09-13,democratic,0.0,Alabama
2020-09-13,republican,1.0,Alabama
2020-09-14,democratic,0.0,Alabama
2020-09-14,republican,1.0,Alabama
2020-09-15,democratic,0.0,Alabama
2020-09-15,republican,1.0,Alabama
2020-09-16,democratic,0.0,Alabama
2020-09-16,republican,1.0,Alabama
2020-09-17,democratic,0.0,Alabama
2020-09-17,republican,1.0,Alabama
2020-09-18,democratic,0.0,Alabama
2020-09-18,republican,1.0,Alabama
2020-09-19,democratic,0.0,Alabama
2020-09-19,republican,1.0,Alabama
2020-09-20,democratic,0.0,Alabama
2020-09-20,republican,1.0,Alabama
2020-09-21,democratic,0.0,Alabama
2020-09-21,republican,1.0,Alabama
2020-09-22,democratic,0.0,Alabama
2020-09-22,republican,1.0,Alabama
2020-09-23,democratic,0.0,Alabama
2020-09-23,republican,1.0,Alabama
2020-09-24,democratic,0.0,Alabama
2020-09-24,republican,1.0,Alabama
2020-09-25,democratic,0.0,Alabama
2020-09-25,republican,1.0,Alabama
2020-09-26,democratic,0.0,Alabama
2020-09-26,republican,1.0,Alabama
2020-09-27,democratic,0.0,Alabama
2020-09-27,republican,1.0,Alabama
2020-09-28,democratic,0.0,Alabama
2020-09-28,republican,1.0,Alabama
2020-09-29,democratic,0.0,Alabama
2020-09-29,republican,1.0,Alabama
2020-09-30,democratic,0.0,Alabama
2020-09-30,republican,1.0,Alabama
2020-10-01,democratic,0.0,Alabama
2020-10-01,republican,1.0,Alabama
2020-03-01,democratic,0.085,Alaska
2020-03-01,republican,0.915,Alaska
2020-03-02,democratic,0.067,Alaska
2020-03-02,republican,0.9329999999999999,Alaska
2020-03-03,democratic,0.068,Alaska
2020-03-03,republican,0.932,Alaska
2020-03-04,democratic,0.077,Alaska
2020-03-04,republican,0.9229999999999999,Alaska
2020-03-05,democratic,0.076,Alaska
2020-03-05,republican,0.924,Alaska
2020-03-06,democratic,0.084,Alaska
2020-03-06,republican,0.9159999999999999,Alaska
2020-03-07,democratic,0.084,Alaska
2020-03-07,republican,0.9159999999999999,Alaska
2020-03-08,democratic,0.069,Alaska
2020-03-08,republican,0.9309999999999999,Alaska
2020-03-09,democratic,0.094,Alaska
2020-03-09,republican,0.9059999999999999,Alaska
2020-03-10,democratic,0.102,Alaska
2020-03-10,republican,0.898,Alaska
2020-03-11,democratic,0.091,Alaska
2020-03-11,republican,0.909,Alaska
2020-03-12,democratic,0.087,Alaska
2020-03-12,republican,0.9129999999999999,Alaska
2020-03-13,democratic,0.096,Alaska
2020-03-13,republican,0.904,Alaska
2020-03-14,democratic,0.096,Alaska
2020-03-14,republican,0.904,Alaska
2020-03-15,democratic,0.096,Alaska
2020-03-15,republican,0.904,Alaska
2020-03-16,democratic,0.09300000000000001,Alaska
2020-03-16,republican,0.907,Alaska
2020-03-17,democratic,0.09699999999999999,Alaska
2020-03-17,republican,0.903,Alaska
2020-03-18,democratic,0.099,Alaska
2020-03-18,republican,0.9009999999999999,Alaska
2020-03-19,democratic,0.1,Alaska
2020-03-19,republican,0.9,Alaska
2020-03-20,democratic,0.09300000000000001,Alaska
2020-03-20,republican,0.907,Alaska
2020-03-21,democratic,0.098,Alaska
2020-03-21,republican,0.902,Alaska
2020-03-22,democratic,0.08900000000000001,Alaska
2020-03-22,republican,0.9109999999999999,Alaska
2020-03-23,democratic,0.091,Alaska
2020-03-23,republican,0.909,Alaska
2020-03-24,democratic,0.08800000000000001,Alaska
2020-03-24,republican,0.912,Alaska
2020-03-25,democratic,0.086,Alaska
2020-03-25,republican,0.914,Alaska
2020-03-26,democratic,0.083,Alaska
2020-03-26,republican,0.917,Alaska
2020-03-27,democratic,0.084,Alaska
2020-03-27,republican,0.9159999999999999,Alaska
2020-03-28,democratic,0.083,Alaska
2020-03-28,republican,0.917,Alaska
2020-03-29,democratic,0.08199999999999999,Alaska
2020-03-29,republican,0.9179999999999999,Alaska
2020-03-30,democratic,0.08199999999999999,Alaska
2020-03-30,republican,0.9179999999999999,Alaska
2020-03-31,democratic,0.079,Alaska
2020-03-31,republican,0.9209999999999999,Alaska
2020-04-01,democratic,0.079,Alaska
2020-04-01,republican,0.9209999999999999,Alaska
2020-04-02,democratic,0.086,Alaska
2020-04-02,republican,0.914,Alaska
2020-04-03,democratic,0.094,Alaska
2020-04-03,republican,0.9059999999999999,Alaska
2020-04-04,democratic,0.092,Alaska
2020-04-04,republican,0.9079999999999999,Alaska
2020-04-05,democratic,0.08900000000000001,Alaska
2020-04-05,republican,0.9109999999999999,Alaska
2020-04-06,democratic,0.09,Alaska
2020-04-06,republican,0.91,Alaska
2020-04-07,democratic,0.087,Alaska
2020-04-07,republican,0.9129999999999999,Alaska
2020-04-08,democratic,0.086,Alaska
2020-04-08,republican,0.914,Alaska
2020-04-09,democratic,0.091,Alaska
2020-04-09,republican,0.909,Alaska
2020-04-10,democratic,0.085,Alaska
2020-04-10,republican,0.915,Alaska
2020-04-11,democratic,0.091,Alaska
2020-04-11,republican,0.909,Alaska
2020-04-12,democratic,0.09,Alaska
2020-04-12,republican,0.91,Alaska
2020-04-13,democratic,0.10300000000000001,Alaska
2020-04-13,republican,0.897,Alaska
2020-04-14,democratic,0.107,Alaska
2020-04-14,republican,0.893,Alaska
2020-04-15,democratic,0.10400000000000001,Alaska
2020-04-15,republican,0.8959999999999999,Alaska
2020-04-16,democratic,0.11,Alaska
2020-04-16,republican,0.89,Alaska
2020-04-17,democratic,0.11,Alaska
2020-04-17,republican,0.889,Alaska
2020-04-18,democratic,0.111,Alaska
2020-04-18,republican,0.889,Alaska
2020-04-19,democratic,0.109,Alaska
2020-04-19,republican,0.8909999999999999,Alaska
2020-04-20,democratic,0.111,Alaska
2020-04-20,republican,0.889,Alaska
2020-04-21,democratic,0.105,Alaska
2020-04-21,republican,0.895,Alaska
2020-04-22,democratic,0.11,Alaska
2020-04-22,republican,0.89,Alaska
2020-04-23,democratic,0.11800000000000001,Alaska
2020-04-23,republican,0.882,Alaska
2020-04-24,democratic,0.10800000000000001,Alaska
2020-04-24,republican,0.892,Alaska
2020-04-25,democratic,0.109,Alaska
2020-04-25,republican,0.8909999999999999,Alaska
2020-04-26,democratic,0.105,Alaska
2020-04-26,republican,0.895,Alaska
2020-04-27,democratic,0.098,Alaska
2020-04-27,republican,0.902,Alaska
2020-04-28,democratic,0.098,Alaska
2020-04-28,republican,0.902,Alaska
2020-04-29,democratic,0.095,Alaska
2020-04-29,republican,0.905,Alaska
2020-04-30,democratic,0.086,Alaska
2020-04-30,republican,0.914,Alaska
2020-05-01,democratic,0.085,Alaska
2020-05-01,republican,0.915,Alaska
2020-05-02,democratic,0.094,Alaska
2020-05-02,republican,0.9059999999999999,Alaska
2020-05-03,democratic,0.11,Alaska
2020-05-03,republican,0.89,Alaska
2020-05-04,democratic,0.11900000000000001,Alaska
2020-05-04,republican,0.8809999999999999,Alaska
2020-05-05,democratic,0.11800000000000001,Alaska
2020-05-05,republican,0.8809999999999999,Alaska
2020-05-06,democratic,0.131,Alaska
2020-05-06,republican,0.8690000000000001,Alaska
2020-05-07,democratic,0.125,Alaska
2020-05-07,republican,0.875,Alaska
2020-05-08,democratic,0.12,Alaska
2020-05-08,republican,0.88,Alaska
2020-05-09,democratic,0.122,Alaska
2020-05-09,republican,0.878,Alaska
2020-05-10,democratic,0.11699999999999999,Alaska
2020-05-10,republican,0.883,Alaska
2020-05-11,democratic,0.124,Alaska
2020-05-11,republican,0.8759999999999999,Alaska
2020-05-12,democratic,0.124,Alaska
2020-05-12,republican,0.8759999999999999,Alaska
2020-05-13,democratic,0.11800000000000001,Alaska
2020-05-13,republican,0.882,Alaska
2020-05-14,democratic,0.11599999999999999,Alaska
2020-05-14,republican,0.884,Alaska
2020-05-15,democratic,0.11800000000000001,Alaska
2020-05-15,republican,0.882,Alaska
2020-05-16,democratic,0.11199999999999999,Alaska
2020-05-16,republican,0.888,Alaska
2020-05-17,democratic,0.11199999999999999,Alaska
2020-05-17,republican,0.888,Alaska
2020-05-18,democratic,0.113,Alaska
2020-05-18,republican,0.887,Alaska
2020-05-19,democratic,0.115,Alaska
2020-05-19,republican,0.885,Alaska
2020-05-20,democratic,0.10400000000000001,Alaska
2020-05-20,republican,0.8959999999999999,Alaska
2020-05-21,democratic,0.141,Alaska
2020-05-21,republican,0.8590000000000001,Alaska
2020-05-22,democratic,0.134,Alaska
2020-05-22,republican,0.866,Alaska
2020-05-23,democratic,0.128,Alaska
2020-05-23,republican,0.872,Alaska
2020-05-24,democratic,0.124,Alaska
2020-05-24,republican,0.8759999999999999,Alaska
2020-05-25,democratic,0.125,Alaska
2020-05-25,republican,0.875,Alaska
2020-05-26,democratic,0.135,Alaska
2020-05-26,republican,0.865,Alaska
2020-05-27,democratic,0.129,Alaska
2020-05-27,republican,0.871,Alaska
2020-05-28,democratic,0.129,Alaska
2020-05-28,republican,0.871,Alaska
2020-05-29,democratic,0.131,Alaska
2020-05-29,republican,0.8690000000000001,Alaska
2020-05-30,democratic,0.132,Alaska
2020-05-30,republican,0.868,Alaska
2020-05-31,democratic,0.129,Alaska
2020-05-31,republican,0.871,Alaska
2020-06-01,democratic,0.139,Alaska
2020-06-01,republican,0.861,Alaska
2020-06-02,democratic,0.142,Alaska
2020-06-02,republican,0.858,Alaska
2020-06-03,democratic,0.136,Alaska
2020-06-03,republican,0.8640000000000001,Alaska
2020-06-04,democratic,0.13699999999999998,Alaska
2020-06-04,republican,0.863,Alaska
2020-06-05,democratic,0.141,Alaska
2020-06-05,republican,0.8590000000000001,Alaska
2020-06-06,democratic,0.139,Alaska
2020-06-06,republican,0.861,Alaska
2020-06-07,democratic,0.146,Alaska
2020-06-07,republican,0.855,Alaska
2020-06-08,democratic,0.152,Alaska
2020-06-08,republican,0.848,Alaska
2020-06-09,democratic,0.16899999999999998,Alaska
2020-06-09,republican,0.831,Alaska
2020-06-10,democratic,0.175,Alaska
2020-06-10,republican,0.825,Alaska
2020-06-11,democratic,0.17600000000000002,Alaska
2020-06-11,republican,0.8240000000000001,Alaska
2020-06-12,democratic,0.18100000000000002,Alaska
2020-06-12,republican,0.8190000000000001,Alaska
2020-06-13,democratic,0.175,Alaska
2020-06-13,republican,0.825,Alaska
2020-06-14,democratic,0.17,Alaska
2020-06-14,republican,0.83,Alaska
2020-06-15,democratic,0.17600000000000002,Alaska
2020-06-15,republican,0.8240000000000001,Alaska
2020-06-16,democratic,0.179,Alaska
2020-06-16,republican,0.821,Alaska
2020-06-17,democratic,0.17300000000000001,Alaska
2020-06-17,republican,0.8270000000000001,Alaska
2020-06-18,democratic,0.163,Alaska
2020-06-18,republican,0.8370000000000001,Alaska
2020-06-19,democratic,0.161,Alaska
2020-06-19,republican,0.8390000000000001,Alaska
2020-06-20,democratic,0.165,Alaska
2020-06-20,republican,0.835,Alaska
2020-06-21,democratic,0.165,Alaska
2020-06-21,republican,0.835,Alaska
2020-06-22,democratic,0.161,Alaska
2020-06-22,republican,0.8390000000000001,Alaska
2020-06-23,democratic,0.161,Alaska
2020-06-23,republican,0.8390000000000001,Alaska
2020-06-24,democratic,0.158,Alaska
2020-06-24,republican,0.8420000000000001,Alaska
2020-06-25,democratic,0.159,Alaska
2020-06-25,republican,0.841,Alaska
2020-06-26,democratic,0.155,Alaska
2020-06-26,republican,0.845,Alaska
2020-06-27,democratic,0.157,Alaska
2020-06-27,republican,0.843,Alaska
2020-06-28,democratic,0.145,Alaska
2020-06-28,republican,0.855,Alaska
2020-06-29,democratic,0.152,Alaska
2020-06-29,republican,0.848,Alaska
2020-06-30,democratic,0.159,Alaska
2020-06-30,republican,0.841,Alaska
2020-07-01,democratic,0.161,Alaska
2020-07-01,republican,0.8390000000000001,Alaska
2020-07-02,democratic,0.152,Alaska
2020-07-02,republican,0.8490000000000001,Alaska
2020-07-03,democratic,0.153,Alaska
2020-07-03,republican,0.847,Alaska
2020-07-04,democratic,0.142,Alaska
2020-07-04,republican,0.858,Alaska
2020-07-05,democratic,0.14800000000000002,Alaska
2020-07-05,republican,0.852,Alaska
2020-07-06,democratic,0.14300000000000002,Alaska
2020-07-06,republican,0.857,Alaska
2020-07-07,democratic,0.14400000000000002,Alaska
2020-07-07,republican,0.856,Alaska
2020-07-08,democratic,0.136,Alaska
2020-07-08,republican,0.8640000000000001,Alaska
2020-07-09,democratic,0.11699999999999999,Alaska
2020-07-09,republican,0.883,Alaska
